Username,Comment
@Somuff1780,Kon kon instgram se sun ke aaya h 😂😂😂😂
@Revolution1931,❤
@NkNarender1998,Kaun si wali maal road location?
@imashutoshmahakul,Unbelievable it's 10 years old 😳
@mukeshgautamalexarya8050,Who came from Instagram
@East_india_company_Jats,I know This song Recommended you in 2023 😅
@msdcsk4349,"""जिंदगी देने वाले,
मरता छोड़ गये,
अपनापन जताने वाले तन्हा छोड़ गये,
जब पड़ी जरूरत हमें अपने हमसफर की,
वो जो साथ चलने वाले, रास्ता मोड़ गये."""
@PrakashBarala-q5t,😞😞
@adityakamble8892,"🎉LEGEND LISTENING THIS SONG ONLY FOR THOSE MAGICAL WORDS.....""""""OHDI ANKH V KAMINI ,MERA DIL V KAMINA""""""

I LIKE THIS STEP 2:57 😅❤
2023 1 DECEMBER 🕺💃"
@jkergamer7103,Me to this song : Aaj fir 10 saal ho gaye na manu kande ke mai tenu yara bhul jana kal to....
@saurabh_chaudhary1074,1 dec 2023🧡
@aniketkumar1598,2:45
@VIVEKKUMAR-zk4mf,November 2023 ✋
@Nitinsagar88,Kon kon ishe 2023 me dekh raha ha like karo 😅
@ramff2141,Legends are come here after isnsta reels 🎉
@papakilleryt9091,This  is a master peice 🎉🎉❤❤❤❤😂😂😂😊😢😊😢😊
@krsnavarshney,2023 listeners like here 😊
@pandiitmohit,Kon kon reels dekh ke aaya he😅😅
@HarshKumar-x2w,Kon Kon Instagram ma sunke aaya h ❤❤
@buntysokhi6074,"Oh like karo jo sun k aye ""ohdi akh vi Kamini"""
@gurupratapchandiwal123,2024
@VishalJanguVishalJanguBishnoi,My favorite song very very best ❤❤
@ROHITAHER-f1e,2:18 look op
@imashishkumar1291,2010-2014 has heavy Nostalgic Songs😊😊
@ariyannath4535,2023 🤞
@Xyz-s3u,https://youtube.com/@AparBhakti?si=GcXXNBGj5GONiU27
@Dhanominivlogs321,Legend are watching 2023😅😅😅❤
@oye_its_mrpankaj2.0,❤❤❤
@SonuThakare-z6g,Instagram se kon kon aaya hai 😂😊
@asbinkumar463,Sometime something is made ahead time. this is one of them.❤
@Goswami_Nishchay_Giri,After 10 year This Song is Back
@NkNarender1998,Pooja di chhoti behen Meena
@NkNarender1998,Tusi pooja pichhe pai Gaye odi gal wakhri
@BraincellBytes.306,I'm here for 2:45
@harshitdubey1670,Pooja di chhoti bahen...❤😅
@MistisHelpingHand,After listening these kinda old songs mood gets refreshed and heart says leave everything and enjoy your life❤
@BrahminOcean,"No nudity, no vulgar, no loda lasan , only pooja ❤😂 Masterpiece 🕺"
@Ankityadav1610vik,love u pooja
@ramratnaprasad5661,Awesome Vibe Maja Aata Hai ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@kapilmaur4900,kon kon instagram se aya hai
@anirudhsinhvaghela384,2:45❤❤
@StylishStar674,Kon kon instgram se yaha aaya hai 😮😮😮
@sunilkashyap6174,❤❤
@Filmi_Yaadein,Here after Vikalp Mehta's new Reel today!
@Filmi_Yaadein,November 2023? 🙌🏻
@patelsagar10495,Old is always gold 🪙🪙
@Sanatanimandalbhai,Childhood Memories 😢Love This Song ❤
@Diljeetsain-qz2om,❤❤
@luckydhakad7463,Is bande ka bhi  comeback hona chahiye❤
@dpk_fartyal1,Kon kon insta se aaya hai 😃
@RavinderKumar95551,Bhai kon kon reel dekh aya h yha😅
@yadavdevashish,Still listening this song in 24 November 2023 11:15 AM ❤❤
@rasidofficial9264,Master piece❤❤❤😊
@chumbankumarpatel649,Nation wants to know who is puja  and her choti bhen di
@amarjeetyadav2601,Superb song ❤❤❤❤❤
@rahuljadaun3879,It has established its influence even in 20-23.
@kapilpatel2872,Kon kon insta pr reel dekhe ke baad Aaya hai isss masterpiece ko sunne ke liye😊
@Unkxown69,12 year old song vibe in 2025 😌🥹🔥🔥🌟
@karan_ldh,Nice 😅😊
@reactswithyou,Who comes from the last reel
@allinlife197,Nice song🎉
